regio_level,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Työttömät (med.),97.96465454892378,90,Helsingin kaupunki
Postinumeroalueet,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),78.7705509126567,90,Helsingin kaupunki
Postinumeroalueet,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),67.73659406788451,90,Helsingin kaupunki
Postinumeroalueet,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),44.67031800985578,90,Helsingin kaupunki
Postinumeroalueet,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Kokonaislukema (med.),72.2855293848302,90,Helsingin kaupunki
Postinumeroalueet,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Työttömät (med.),103.54322959714702,90,Helsingin kaupunki
Postinumeroalueet,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),75.41894708091887,90,Helsingin kaupunki
Postinumeroalueet,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),64.15535746843724,90,Helsingin kaupunki
Postinumeroalueet,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),44.35215885189116,90,Helsingin kaupunki
Postinumeroalueet,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Kokonaislukema (med.),71.86742324959857,90,Helsingin kaupunki
Postinumeroalueet,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Työttömät (med.),74.97039102869809,90,Helsingin kaupunki
Postinumeroalueet,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),86.87346784166694,90,Helsingin kaupunki
Postinumeroalueet,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),63.49173896545756,90,Helsingin kaupunki
Postinumeroalueet,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),46.33594254248943,90,Helsingin kaupunki
Postinumeroalueet,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Kokonaislukema (med.),67.917885094578,90,Helsingin kaupunki
Postinumeroalueet,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Työttömät (med.),95.99967137150901,90,Helsingin kaupunki
Postinumeroalueet,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),76.78649267544725,90,Helsingin kaupunki
Postinumeroalueet,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat taloudet (med.),63.60663781865076,90,Helsingin kaupunki
Postinumeroalueet,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),44.27559890680696,90,Helsingin kaupunki
